B1_over_B0,B1_over_B0_sign,B2_over_B1,B2_over_B1_sign,family,qlike_B0,qlike_B1,qlike_B2,rank,ranked_information_set,session_date
0.0015303603292791679,1,-0.0006108687756821718,-1,log_ridge_harq,0.13738507713421275,0.13585471680493358,0.13646558558061575,8,B1,2026-08-11
-0.0026277565794595448,-1,-0.002000924042244112,-1,log_ridge_harq,0.13115749251336922,0.13378524909282877,0.13578617313507288,9,B1,2026-08-20
0.0019872730846019204,1,0.00013028875505680104,1,log_ridge_harq,0.12967891786912536,0.12769164478452344,0.12756135602946664,10,B1,2026-08-04
0.0054051620192057115,1,0.08169654521804559,1,log_ridge_harq,1.4204408464827425,1.4150356844635368,1.3333391392454912,1,B2,2026-08-31
-0.033462202914449346,-1,-0.011144860983376526,-1,log_ridge_harq,0.3947622884995396,0.42822449141398894,0.43936935239736546,2,B2,2026-08-17
-7.37333821067554e-05,-1,0.005594755591601164,1,log_ridge_harq,0.19165472847904183,0.19172846186114859,0.18613370626954742,3,B2,2026-08-10
0.002337925477229885,1,0.0015524434824243094,1,log_ridge_harq,0.17330219358692633,0.17096426810969645,0.16941182462727214,4,B2,2026-08-25
0.008605361748021817,1,0.0018119900671339506,1,log_ridge_harq,0.1688587524285151,0.1602533906804933,0.15844140061335935,5,B2,2026-08-05
0.008701411915207041,1,-0.005706753292887806,-1,log_ridge_harq,0.15109591996670949,0.14239450805150244,0.14810126134439025,6,B2,2026-09-04
0.0010962625670925263,1,3.808877129854449e-05,1,log_ridge_harq,0.14835939359245984,0.1472631310253673,0.14722504225406877,7,B2,2026-08-13
0.0015303603292791679,1,-0.0006108687756821718,-1,log_ridge_harq,0.13738507713421275,0.13585471680493358,0.13646558558061575,8,B2,2026-08-11
-0.0026277565794595448,-1,-0.002000924042244112,-1,log_ridge_harq,0.13115749251336922,0.13378524909282877,0.13578617313507288,9,B2,2026-08-20
0.0019872730846019204,1,0.00013028875505680104,1,log_ridge_harq,0.12967891786912536,0.12769164478452344,0.12756135602946664,10,B2,2026-08-04
-0.02933750444271932,-1,-0.08102163260271555,-1,lightgbm_qlike,1.2863554862669042,1.3156929907096235,1.396714623312339,1,B0,2026-08-31
-0.02268364801251832,-1,-0.0008305261090126304,-1,lightgbm_qlike,0.38274337059572755,0.40542701860824587,0.4062575447172585,2,B0,2026-08-17
